datetime,temperature,humidity,pressure,wind_speed
2016-01-01 00:00:00,25,79.0,1025.0,6.0
2016-01-01 01:00:00,24,79.0,1026.0,5.0
2016-01-01 02:00:00,24,89.0,1032.0,6.0
2016-01-01 03:00:00,23,79.0,1026.0,4.0
2016-01-01 04:00:00,23,73.0,1025.0,2.0
2016-01-01 05:00:00,23,73.0,1025.0,2.0
2016-01-01 06:00:00,23,73.0,1023.0,5.0
2016-01-01 07:00:00,21,73.0,1024.0,6.0
2016-01-01 08:00:00,21,75.0,1025.0,6.0
2016-01-01 09:00:00,20,62.0,1023.0,5.0
2016-01-01 10:00:00,19,67.0,1023.0,6.0
2016-01-01 11:00:00,20,73.0,1023.0,6.0
2016-01-01 12:00:00,21,73.0,1023.0,5.0
2016-01-01 13:00:00,22,67.0,1023.0,6.0
2016-01-01 14:00:00,23,73.0,1023.0,7.0
2016-01-01 15:00:00,24,68.0,1023.0,6.0
2016-01-01 16:00:00,25,79.0,1024.0,6.0
2016-01-01 17:00:00,25,73.0,1023.0,8.0
2016-01-01 18:00:00,25,73.0,1022.0,8.0
2016-01-01 19:00:00,27,74.0,1022.0,8.0
2016-01-01 20:00:00,27,68.0,1021.0,8.0
2016-01-01 21:00:00,28,74.0,1021.0,6.0
2016-01-01 22:00:00,28,74.0,1021.0,6.0
2016-01-01 23:00:00,27,87.0,1028.0,6.0
2016-01-02 00:00:00,28,74.0,1021.0,6.0
2016-01-02 01:00:00,28,74.0,1020.0,6.0
2016-01-02 02:00:00,29,74.0,1020.0,6.0
2016-01-02 03:00:00,28,74.0,1020.0,4.0
2016-01-02 04:00:00,28,74.0,1020.0,4.0
2016-01-02 05:00:00,27,74.0,1020.0,5.0
2016-01-02 06:00:00,26,73.0,1020.0,5.0
2016-01-02 07:00:00,26,72.0,1020.0,5.0
2016-01-02 08:00:00,26,68.0,1020.0,3.0
2016-01-02 09:00:00,25,68.0,1020.0,3.0
2016-01-02 10:00:00,23,85.0,1020.0,4.0
2016-01-02 11:00:00,22,85.0,1020.0,4.0
2016-01-02 12:00:00,21,73.0,1020.0,3.0
2016-01-02 13:00:00,20,85.0,1020.0,3.0
2016-01-02 14:00:00,21,85.0,1021.0,3.0
2016-01-02 15:00:00,24,73.0,1020.0,3.0
2016-01-02 16:00:00,27,73.0,1021.0,6.0
2016-01-02 17:00:00,27,73.0,1021.0,6.0
2016-01-02 18:00:00,29,74.0,1019.0,4.0
2016-01-02 19:00:00,31,74.0,1017.0,5.0
2016-01-02 20:00:00,31,76.0,1018.0,5.0
2016-01-02 21:00:00,32,100.0,1017.0,4.0
2016-01-02 22:00:00,31,100.0,1016.0,5.0
2016-01-02 23:00:00,31,100.0,1016.0,5.0
2016-01-03 00:00:00,30,89.0,1015.0,6.0
2016-01-03 01:00:00,30,80.0,1015.0,8.0
2016-01-03 02:00:00,29,89.0,1022.0,8.0
2016-01-03 03:00:00,29,80.0,1015.0,7.0
2016-01-03 04:00:00,27,100.0,1014.0,6.0
2016-01-03 05:00:00,27,63.0,1015.0,6.0
2016-01-03 06:00:00,25,63.0,1015.0,4.0
2016-01-03 07:00:00,24,68.0,1015.0,5.0
2016-01-03 08:00:00,24,73.0,1015.0,3.0
2016-01-03 09:00:00,24,72.0,1015.0,3.0
2016-01-03 10:00:00,24,84.0,1023.0,5.0
2016-01-03 11:00:00,23,68.0,1017.0,5.0
2016-01-03 12:00:00,23,76.0,1017.0,4.0
2016-01-03 13:00:00,24,85.0,1018.0,4.0
2016-01-03 14:00:00,26,92.0,1025.0,5.0
2016-01-03 15:00:00,26,79.0,1020.0,3.0
2016-01-03 16:00:00,27,76.0,1020.0,4.0
2016-01-03 17:00:00,29,74.0,1021.0,5.0
2016-01-03 18:00:00,30,68.0,1021.0,6.0
2016-01-03 19:00:00,30,68.0,1021.0,6.0
2016-01-03 20:00:00,29,68.0,1022.0,5.0
2016-01-03 21:00:00,29,68.0,1022.0,5.0
2016-01-03 22:00:00,29,68.0,1023.0,5.0
2016-01-03 23:00:00,28,83.0,1029.0,6.0
2016-01-04 00:00:00,28,74.0,1024.0,5.0
2016-01-04 01:00:00,28,64.0,1024.0,5.0
2016-01-04 02:00:00,27,54.0,1025.0,6.0
2016-01-04 03:00:00,27,54.0,1025.0,6.0
2016-01-04 04:00:00,27,54.0,1025.0,6.0
2016-01-04 05:00:00,26,58.0,1025.0,7.0
2016-01-04 06:00:00,26,58.0,1025.0,7.0
2016-01-04 07:00:00,25,79.0,1032.0,6.0
2016-01-04 08:00:00,25,58.0,1025.0,6.0
2016-01-04 09:00:00,25,73.0,1027.0,3.0
2016-01-04 10:00:00,25,73.0,1027.0,3.0
2016-01-04 11:00:00,25,73.0,1027.0,5.0
2016-01-04 12:00:00,26,68.0,1028.0,5.0
2016-01-04 13:00:00,25,73.0,1029.0,4.0
2016-01-04 14:00:00,26,68.0,1029.0,6.0
2016-01-04 15:00:00,28,68.0,1031.0,7.0
2016-01-04 16:00:00,28,68.0,1031.0,5.0
2016-01-04 17:00:00,29,63.0,1031.0,5.0
2016-01-04 18:00:00,29,63.0,1031.0,5.0
2016-01-04 19:00:00,30,63.0,1031.0,5.0
2016-01-04 20:00:00,30,65.0,1032.0,5.0
2016-01-04 21:00:00,29,63.0,1031.0,3.0
2016-01-04 22:00:00,29,63.0,1031.0,3.0
2016-01-04 23:00:00,29,63.0,1033.0,3.0
2016-01-05 00:00:00,28,63.0,1033.0,2.0
2016-01-05 01:00:00,27,63.0,1034.0,2.0
2016-01-05 02:00:00,25,81.0,1041.0,2.0
2016-01-05 03:00:00,25,63.0,1034.0,2.0
2016-01-05 04:00:00,23,53.0,1035.0,1.0
2016-01-05 05:00:00,23,53.0,1035.0,1.0
2016-01-05 06:00:00,20,63.0,1034.0,2.0
2016-01-05 07:00:00,18,73.0,1035.0,2.0
2016-01-05 08:00:00,18,74.0,1035.0,2.0
2016-01-05 09:00:00,19,73.0,1035.0,2.0
2016-01-05 10:00:00,19,78.0,1034.0,2.0
2016-01-05 11:00:00,19,85.0,1034.0,3.0
2016-01-05 12:00:00,18,78.0,1034.0,3.0
2016-01-05 13:00:00,18,79.0,1035.0,3.0
2016-01-05 14:00:00,20,85.0,1035.0,3.0
2016-01-05 15:00:00,23,73.0,1035.0,4.0
2016-01-05 16:00:00,27,79.0,1034.0,4.0
2016-01-05 17:00:00,27,79.0,1034.0,4.0
2016-01-05 18:00:00,32,100.0,1033.0,6.0
2016-01-05 19:00:00,33,51.0,1031.0,7.0
2016-01-05 20:00:00,33,59.0,1031.0,5.0
2016-01-05 21:00:00,33,71.0,1030.0,4.0
2016-01-05 22:00:00,32,100.0,1030.0,4.0
2016-01-05 23:00:00,29,100.0,1037.0,5.0
2016-01-06 00:00:00,30,74.0,1029.0,3.0
2016-01-06 01:00:00,29,76.0,1028.0,4.0
2016-01-06 02:00:00,29,79.0,1028.0,4.0
2016-01-06 03:00:00,27,63.0,1029.0,2.0
2016-01-06 04:00:00,27,63.0,1029.0,2.0
2016-01-06 05:00:00,26,63.0,1029.0,1.0
2016-01-06 06:00:00,26,68.0,1028.0,2.0
2016-01-06 07:00:00,26,68.0,1027.0,2.0
2016-01-06 08:00:00,26,68.0,1028.0,1.0
2016-01-06 09:00:00,26,68.0,1028.0,3.0
2016-01-06 10:00:00,25,85.0,1027.0,3.0
2016-01-06 11:00:00,24,68.0,1027.0,3.0
2016-01-06 12:00:00,24,85.0,1027.0,3.0
2016-01-06 13:00:00,23,73.0,1027.0,3.0
2016-01-06 14:00:00,24,80.0,1031.0,3.0
2016-01-06 15:00:00,26,79.0,1026.0,3.0
2016-01-06 16:00:00,28,76.0,1026.0,3.0
2016-01-06 17:00:00,31,74.0,1026.0,3.0
2016-01-06 18:00:00,35,64.0,1024.0,5.0
2016-01-06 19:00:00,36,59.0,1023.0,4.0
2016-01-06 20:00:00,36,60.0,1023.0,4.0
2016-01-06 21:00:00,36,64.0,1023.0,3.0
2016-01-06 22:00:00,35,51.0,1023.0,3.0
2016-01-06 23:00:00,35,51.0,1023.0,3.0
2016-01-07 00:00:00,35,62.0,1022.0,3.0
2016-01-07 01:00:00,35,74.0,1022.0,4.0
2016-01-07 02:00:00,34,86.0,1029.0,4.0
2016-01-07 03:00:00,35,55.0,1023.0,3.0
2016-01-07 04:00:00,35,55.0,1023.0,3.0
2016-01-07 05:00:00,35,55.0,1023.0,3.0
2016-01-07 06:00:00,35,55.0,1022.0,4.0
2016-01-07 07:00:00,35,47.0,1022.0,1.0
2016-01-07 08:00:00,35,55.0,1021.0,3.0
2016-01-07 09:00:00,34,74.0,1020.0,2.0
2016-01-07 10:00:00,34,59.0,1020.0,3.0
2016-01-07 11:00:00,34,74.0,1020.0,3.0
2016-01-07 12:00:00,34,74.0,1020.0,3.0
2016-01-07 13:00:00,34,74.0,1020.0,3.0
2016-01-07 14:00:00,33,86.0,1027.0,3.0
2016-01-07 15:00:00,35,74.0,1020.0,4.0
2016-01-07 16:00:00,36,69.0,1020.0,4.0
2016-01-07 17:00:00,37,64.0,1020.0,4.0
2016-01-07 18:00:00,39,52.0,1018.0,2.0
2016-01-07 19:00:00,40,64.0,1017.0,3.0
2016-01-07 20:00:00,40,65.0,1017.0,3.0
2016-01-07 21:00:00,40,60.0,1017.0,3.0
2016-01-07 22:00:00,39,69.0,1016.0,2.0
2016-01-07 23:00:00,39,69.0,1016.0,2.0
2016-01-08 00:00:00,39,69.0,1016.0,3.0
2016-01-08 01:00:00,39,69.0,1016.0,3.0
2016-01-08 02:00:00,38,84.0,1023.0,4.0
2016-01-08 03:00:00,38,69.0,1015.0,3.0
2016-01-08 04:00:00,38,74.0,1015.0,4.0
2016-01-08 05:00:00,38,74.0,1015.0,4.0
2016-01-08 06:00:00,38,64.0,1014.0,2.0
2016-01-08 07:00:00,38,65.0,1014.0,2.0
2016-01-08 08:00:00,38,67.0,1014.0,2.0
2016-01-08 09:00:00,37,80.0,1012.0,3.0
2016-01-08 10:00:00,37,86.0,1011.0,3.0
2016-01-08 11:00:00,38,86.0,1011.0,2.0
2016-01-08 12:00:00,38,88.0,1010.0,2.0
2016-01-08 13:00:00,38,93.0,1010.0,3.0
2016-01-08 14:00:00,38,96.0,1017.0,3.0
2016-01-08 15:00:00,38,93.0,1009.0,4.0
2016-01-08 16:00:00,40,93.0,1008.0,4.0
2016-01-08 17:00:00,41,100.0,1008.0,2.0
2016-01-08 18:00:00,41,100.0,1007.0,2.0
2016-01-08 19:00:00,42,100.0,1006.0,3.0
2016-01-08 20:00:00,42,100.0,1007.0,3.0
2016-01-08 21:00:00,42,87.0,1006.0,3.0
2016-01-08 22:00:00,42,87.0,1006.0,3.0
2016-01-08 23:00:00,42,87.0,1006.0,3.0
2016-01-09 00:00:00,42,93.0,1006.0,2.0
2016-01-09 01:00:00,42,100.0,1006.0,2.0
2016-01-09 02:00:00,41,100.0,1013.0,3.0
2016-01-09 03:00:00,42,93.0,1006.0,2.0
2016-01-09 04:00:00,42,93.0,1007.0,4.0
2016-01-09 05:00:00,42,93.0,1007.0,4.0
2016-01-09 06:00:00,41,93.0,1008.0,1.0
2016-01-09 07:00:00,40,93.0,1007.0,2.0
2016-01-09 08:00:00,40,87.0,1007.0,4.0
2016-01-09 09:00:00,39,89.0,1007.0,4.0
2016-01-09 10:00:00,38,100.0,1008.0,3.0
2016-01-09 11:00:00,38,100.0,1013.0,3.0
2016-01-09 12:00:00,37,93.0,1009.0,3.0
2016-01-09 13:00:00,37,96.0,1009.0,2.0
2016-01-09 14:00:00,37,100.0,1010.0,1.0
2016-01-09 15:00:00,37,96.0,1010.0,2.0
2016-01-09 16:00:00,37,93.0,1011.0,2.0
2016-01-09 17:00:00,37,96.0,1017.0,2.0
2016-01-09 18:00:00,37,86.0,1011.0,2.0
2016-01-09 19:00:00,36,89.0,1009.0,3.0
2016-01-09 20:00:00,36,93.0,1008.0,5.0
2016-01-09 21:00:00,35,89.0,1008.0,3.0
2016-01-09 22:00:00,34,86.0,1008.0,2.0
2016-01-09 23:00:00,33,92.0,1015.0,4.0
2016-01-10 00:00:00,33,86.0,1008.0,4.0
2016-01-10 01:00:00,32,91.0,1008.0,5.0
2016-01-10 02:00:00,32,100.0,1008.0,7.0
2016-01-10 03:00:00,31,96.0,1008.0,7.0
2016-01-10 04:00:00,29,92.0,1008.0,7.0
2016-01-10 05:00:00,29,95.0,1014.0,8.0
2016-01-10 06:00:00,25,100.0,1006.0,7.0
2016-01-10 07:00:00,22,79.0,1006.0,6.0
2016-01-10 08:00:00,22,79.0,1006.0,6.0
2016-01-10 09:00:00,21,79.0,1007.0,7.0
2016-01-10 10:00:00,21,79.0,1009.0,9.0
2016-01-10 11:00:00,22,89.0,1016.0,10.0
2016-01-10 12:00:00,18,79.0,1009.0,10.0
2016-01-10 13:00:00,16,78.0,1010.0,9.0
2016-01-10 14:00:00,15,78.0,1013.0,8.0
2016-01-10 15:00:00,13,78.0,1015.0,7.0
2016-01-10 16:00:00,14,66.0,1014.0,8.0
2016-01-10 17:00:00,13,66.0,1015.0,7.0
2016-01-10 18:00:00,14,66.0,1015.0,6.0
2016-01-10 19:00:00,13,78.0,1015.0,6.0
2016-01-10 20:00:00,13,80.0,1016.0,6.0
2016-01-10 21:00:00,12,78.0,1017.0,7.0
2016-01-10 22:00:00,10,77.0,1017.0,7.0
2016-01-10 23:00:00,9,77.0,1018.0,7.0
2016-01-11 00:00:00,7,77.0,1018.0,7.0
2016-01-11 01:00:00,6,77.0,1019.0,6.0
2016-01-11 02:00:00,6,88.0,1025.0,7.0
2016-01-11 03:00:00,5,71.0,1019.0,6.0
2016-01-11 04:00:00,3,77.0,1019.0,6.0
2016-01-11 05:00:00,3,77.0,1019.0,6.0
2016-01-11 06:00:00,2,65.0,1019.0,7.0
2016-01-11 07:00:00,1,77.0,1019.0,6.0
2016-01-11 08:00:00,2,78.0,1019.0,6.0
2016-01-11 09:00:00,1,77.0,1020.0,4.0
2016-01-11 10:00:00,0,70.0,1019.0,2.0
2016-01-11 11:00:00,0,71.0,1019.0,2.0
2016-01-11 12:00:00,0,84.0,1019.0,2.0
2016-01-11 13:00:00,0,80.0,1019.0,3.0
2016-01-11 14:00:00,0,77.0,1019.0,4.0
2016-01-11 15:00:00,2,74.0,1019.0,3.0
2016-01-11 16:00:00,4,71.0,1019.0,1.0
2016-01-11 17:00:00,10,78.0,1017.0,3.0
2016-01-11 18:00:00,10,78.0,1016.0,3.0
2016-01-11 19:00:00,12,85.0,1016.0,3.0
2016-01-11 20:00:00,14,92.0,1021.0,3.0
2016-01-11 21:00:00,16,79.0,1012.0,5.0
2016-01-11 22:00:00,18,73.0,1011.0,5.0
2016-01-11 23:00:00,20,67.0,1011.0,4.0
2016-01-12 00:00:00,20,79.0,1010.0,3.0
2016-01-12 01:00:00,21,92.0,1009.0,3.0
2016-01-12 02:00:00,23,95.0,1015.0,5.0
2016-01-12 03:00:00,24,79.0,1007.0,6.0
2016-01-12 04:00:00,25,73.0,1005.0,9.0
2016-01-12 05:00:00,25,73.0,1005.0,9.0
2016-01-12 06:00:00,21,67.0,1005.0,10.0
2016-01-12 07:00:00,18,67.0,1006.0,7.0
2016-01-12 08:00:00,18,67.0,1006.0,7.0
2016-01-12 09:00:00,18,72.0,1006.0,7.0
2016-01-12 10:00:00,17,72.0,1007.0,7.0
2016-01-12 11:00:00,15,67.0,1007.0,7.0
2016-01-12 12:00:00,11,65.0,1010.0,7.0
2016-01-12 13:00:00,11,64.0,1010.0,7.0
2016-01-12 14:00:00,9,60.0,1011.0,8.0
2016-01-12 15:00:00,8,62.0,1012.0,8.0
2016-01-12 16:00:00,7,65.0,1015.0,8.0
2016-01-12 17:00:00,9,65.0,1017.0,11.0
2016-01-12 18:00:00,9,64.0,1017.0,11.0
2016-01-12 19:00:00,9,56.0,1017.0,9.0
2016-01-12 20:00:00,11,77.0,1024.0,8.0
2016-01-12 21:00:00,11,66.0,1018.0,7.0
2016-01-12 22:00:00,10,68.0,1019.0,6.0
2016-01-12 23:00:00,10,71.0,1021.0,6.0
2016-01-13 00:00:00,8,68.0,1021.0,5.0
2016-01-13 01:00:00,7,65.0,1022.0,5.0
2016-01-13 02:00:00,7,82.0,1029.0,5.0
2016-01-13 03:00:00,6,71.0,1022.0,4.0
2016-01-13 04:00:00,2,71.0,1023.0,4.0
2016-01-13 05:00:00,3,71.0,1023.0,4.0
2016-01-13 06:00:00,2,60.0,1022.0,4.0
2016-01-13 07:00:00,2,63.0,1022.0,3.0
2016-01-13 08:00:00,1,77.0,1022.0,2.0
2016-01-13 09:00:00,0,77.0,1022.0,2.0
2016-01-13 10:00:00,0,77.0,1023.0,2.0
2016-01-13 11:00:00,0,70.0,1022.0,3.0
2016-01-13 12:00:00,0,70.0,1021.0,3.0
2016-01-13 13:00:00,0,92.0,992.0,3.0
2016-01-13 14:00:00,2,84.0,943.0,2.0
2016-01-13 15:00:00,4,81.0,976.0,3.0
2016-01-13 16:00:00,6,78.0,1019.0,4.0
2016-01-13 17:00:00,7,88.0,1025.0,5.0
2016-01-13 18:00:00,10,78.0,1017.0,4.0
2016-01-13 19:00:00,12,78.0,1015.0,5.0
2016-01-13 20:00:00,14,78.0,1013.0,6.0
2016-01-13 21:00:00,16,72.0,1012.0,6.0
2016-01-13 22:00:00,18,67.0,1012.0,6.0
2016-01-13 23:00:00,19,82.0,1018.0,6.0
2016-01-14 00:00:00,21,73.0,1012.0,4.0
2016-01-14 01:00:00,21,75.0,1011.0,4.0
2016-01-14 02:00:00,21,79.0,1011.0,4.0
2016-01-14 03:00:00,22,79.0,1010.0,3.0
2016-01-14 04:00:00,22,79.0,1010.0,3.0
2016-01-14 05:00:00,24,68.0,1009.0,3.0
2016-01-14 06:00:00,24,68.0,1008.0,3.0
2016-01-14 07:00:00,24,74.0,1008.0,2.0
2016-01-14 08:00:00,24,74.0,1008.0,2.0
2016-01-14 09:00:00,25,79.0,1007.0,3.0
2016-01-14 10:00:00,26,86.0,1007.0,4.0
2016-01-14 11:00:00,26,92.0,1014.0,4.0
2016-01-14 12:00:00,29,80.0,1007.0,3.0
2016-01-14 13:00:00,29,82.0,1006.0,3.0
2016-01-14 14:00:00,30,86.0,1006.0,4.0
2016-01-14 15:00:00,31,92.0,1006.0,3.0
2016-01-14 16:00:00,32,100.0,1006.0,3.0
2016-01-14 17:00:00,33,100.0,1012.0,4.0
2016-01-14 18:00:00,37,69.0,1005.0,5.0
2016-01-14 19:00:00,39,83.0,1004.0,5.0
2016-01-14 20:00:00,41,100.0,1003.0,5.0
2016-01-14 21:00:00,42,88.0,1002.0,7.0
2016-01-14 22:00:00,44,75.0,1002.0,8.0
2016-01-14 23:00:00,41,87.0,1008.0,7.0
2016-01-15 00:00:00,40,75.0,1002.0,5.0
2016-01-15 01:00:00,41,77.0,1001.0,5.0
2016-01-15 02:00:00,41,80.0,1001.0,5.0
2016-01-15 03:00:00,41,73.0,1001.0,5.0
2016-01-15 04:00:00,41,65.0,1001.0,4.0
2016-01-15 05:00:00,40,80.0,1007.0,6.0
2016-01-15 06:00:00,41,70.0,1001.0,4.0
2016-01-15 07:00:00,42,75.0,1000.0,6.0
2016-01-15 08:00:00,42,75.0,1000.0,6.0
2016-01-15 09:00:00,42,80.0,998.0,7.0
2016-01-15 10:00:00,42,86.0,997.0,9.0
2016-01-15 11:00:00,41,91.0,1003.0,8.0
2016-01-15 12:00:00,41,86.0,997.0,7.0
2016-01-15 13:00:00,40,86.0,996.0,5.0
2016-01-15 14:00:00,39,86.0,996.0,4.0
2016-01-15 15:00:00,40,89.0,996.0,4.0
2016-01-15 16:00:00,40,93.0,996.0,4.0
2016-01-15 17:00:00,39,95.0,1002.0,4.0
2016-01-15 18:00:00,39,81.0,996.0,6.0
2016-01-15 19:00:00,38,80.0,995.0,5.0
2016-01-15 20:00:00,36,80.0,995.0,4.0
2016-01-15 21:00:00,35,82.0,995.0,5.0
2016-01-15 22:00:00,33,86.0,997.0,5.0
2016-01-15 23:00:00,32,92.0,1004.0,6.0
2016-01-16 00:00:00,32,100.0,999.0,6.0
2016-01-16 01:00:00,32,100.0,999.0,6.0
2016-01-16 02:00:00,32,100.0,1001.0,6.0
2016-01-16 03:00:00,32,86.0,1003.0,6.0
2016-01-16 04:00:00,32,86.0,1003.0,6.0
2016-01-16 05:00:00,31,86.0,1004.0,4.0
2016-01-16 06:00:00,31,80.0,1004.0,6.0
2016-01-16 07:00:00,31,100.0,1004.0,4.0
2016-01-16 08:00:00,30,100.0,1006.0,6.0
2016-01-16 09:00:00,30,99.0,1006.0,6.0
2016-01-16 10:00:00,28,79.0,1014.0,7.0
2016-01-16 11:00:00,29,58.0,1008.0,7.0
2016-01-16 12:00:00,27,73.0,1010.0,4.0
2016-01-16 13:00:00,27,63.0,1010.0,6.0
2016-01-16 14:00:00,26,58.0,1012.0,4.0
2016-01-16 15:00:00,26,58.0,1012.0,4.0
2016-01-16 16:00:00,28,73.0,1013.0,5.0
2016-01-16 17:00:00,29,100.0,1012.0,4.0
2016-01-16 18:00:00,28,63.0,1012.0,5.0
2016-01-16 19:00:00,28,58.0,1012.0,8.0
2016-01-16 20:00:00,28,58.0,1012.0,8.0
2016-01-16 21:00:00,28,62.0,1012.0,7.0
2016-01-16 22:00:00,28,68.0,1013.0,6.0
2016-01-16 23:00:00,23,83.0,1021.0,6.0
2016-01-17 00:00:00,25,68.0,1014.0,5.0
2016-01-17 01:00:00,24,70.0,1014.0,5.0
2016-01-17 02:00:00,22,73.0,1015.0,5.0
2016-01-17 03:00:00,20,62.0,1015.0,3.0
2016-01-17 04:00:00,20,62.0,1015.0,3.0
2016-01-17 05:00:00,14,62.0,1015.0,4.0
2016-01-17 06:00:00,11,48.0,1015.0,5.0
2016-01-17 07:00:00,11,48.0,1015.0,5.0
2016-01-17 08:00:00,7,56.0,1016.0,4.0
2016-01-17 09:00:00,7,55.0,1016.0,4.0
2016-01-17 10:00:00,4,71.0,1016.0,6.0
2016-01-17 11:00:00,4,71.0,1016.0,6.0
2016-01-17 12:00:00,5,71.0,1017.0,7.0
2016-01-17 13:00:00,2,60.0,1018.0,6.0
2016-01-17 14:00:00,2,59.0,1018.0,6.0
2016-01-17 15:00:00,2,64.0,1019.0,6.0
2016-01-17 16:00:00,2,54.0,1019.0,6.0
2016-01-17 17:00:00,2,59.0,1020.0,9.0
2016-01-17 18:00:00,2,58.0,1019.0,9.0
2016-01-17 19:00:00,5,55.0,1019.0,8.0
2016-01-17 20:00:00,6,46.0,1018.0,10.0
2016-01-17 21:00:00,5,48.0,1018.0,10.0
2016-01-17 22:00:00,5,54.0,1020.0,9.0
2016-01-17 23:00:00,5,76.0,1027.0,9.0
2016-01-18 00:00:00,3,59.0,1021.0,7.0
2016-01-18 01:00:00,2,59.0,1021.0,7.0
2016-01-18 02:00:00,2,59.0,1022.0,8.0
2016-01-18 03:00:00,1,54.0,1024.0,7.0
2016-01-18 04:00:00,1,54.0,1024.0,7.0
2016-01-18 05:00:00,0,59.0,1024.0,6.0
2016-01-18 06:00:00,0,59.0,1024.0,6.0
2016-01-18 07:00:00,0,64.0,1024.0,7.0
2016-01-18 08:00:00,-2,64.0,1024.0,7.0
2016-01-18 09:00:00,-2,64.0,1024.0,7.0
2016-01-18 10:00:00,-2,70.0,1025.0,7.0
2016-01-18 11:00:00,-2,70.0,1025.0,7.0
2016-01-18 12:00:00,-3,64.0,1026.0,6.0
2016-01-18 13:00:00,-3,58.0,1025.0,5.0
2016-01-18 14:00:00,-2,64.0,1027.0,7.0
2016-01-18 15:00:00,0,59.0,1026.0,6.0
2016-01-18 16:00:00,0,59.0,1026.0,6.0
2016-01-18 17:00:00,2,59.0,1027.0,6.0
2016-01-18 18:00:00,6,55.0,1026.0,5.0
2016-01-18 19:00:00,6,52.0,1025.0,5.0
2016-01-18 20:00:00,8,39.0,1025.0,6.0
2016-01-18 21:00:00,8,46.0,1025.0,6.0
2016-01-18 22:00:00,8,55.0,1025.0,6.0
2016-01-18 23:00:00,6,76.0,1032.0,6.0
2016-01-19 00:00:00,5,50.0,1026.0,7.0
2016-01-19 01:00:00,5,56.0,1026.0,6.0
2016-01-19 02:00:00,5,65.0,1027.0,5.0
2016-01-19 03:00:00,4,60.0,1027.0,5.0
2016-01-19 04:00:00,4,55.0,1027.0,5.0
2016-01-19 05:00:00,3,75.0,1034.0,5.0
2016-01-19 06:00:00,3,55.0,1028.0,3.0
2016-01-19 07:00:00,2,57.0,1028.0,4.0
2016-01-19 08:00:00,1,60.0,1029.0,6.0
2016-01-19 09:00:00,1,64.0,1029.0,4.0
2016-01-19 10:00:00,1,70.0,1030.0,3.0
2016-01-19 11:00:00,0,83.0,1037.0,3.0
2016-01-19 12:00:00,1,70.0,1032.0,2.0
2016-01-19 13:00:00,0,73.0,1032.0,2.0
2016-01-19 14:00:00,0,77.0,1033.0,2.0
2016-01-19 15:00:00,2,69.0,1033.0,2.0
2016-01-19 16:00:00,4,60.0,1034.0,3.0
2016-01-19 17:00:00,5,79.0,1040.0,2.0
2016-01-19 18:00:00,11,56.0,1034.0,1.0
2016-01-19 19:00:00,13,53.0,1033.0,1.0
2016-01-19 20:00:00,15,51.0,1032.0,1.0
2016-01-19 21:00:00,16,49.0,1031.0,1.0
2016-01-19 22:00:00,16,47.0,1030.0,1.0
2016-01-19 23:00:00,13,71.0,1037.0,1.0
2016-01-20 00:00:00,15,44.0,1031.0,4.0
2016-01-20 01:00:00,15,50.0,1030.0,3.0
2016-01-20 02:00:00,15,61.0,1030.0,2.0
2016-01-20 03:00:00,16,52.0,1029.0,3.0
2016-01-20 04:00:00,16,51.0,1029.0,3.0
2016-01-20 05:00:00,16,48.0,1029.0,2.0
2016-01-20 06:00:00,15,85.0,1027.0,1.0
2016-01-20 07:00:00,15,84.0,1027.0,1.0
2016-01-20 08:00:00,15,78.0,1027.0,2.0
2016-01-20 09:00:00,15,85.0,1026.0,1.0
2016-01-20 10:00:00,14,80.0,1025.0,1.0
2016-01-20 11:00:00,13,72.0,1025.0,1.0
2016-01-20 12:00:00,12,78.0,1025.0,1.0
2016-01-20 13:00:00,12,85.0,1025.0,1.0
2016-01-20 14:00:00,12,92.0,1032.0,1.0
2016-01-20 15:00:00,16,78.0,1025.0,2.0
2016-01-20 16:00:00,17,78.0,1025.0,2.0
2016-01-20 17:00:00,17,78.0,1025.0,2.0
2016-01-20 18:00:00,19,67.0,1024.0,2.0
2016-01-20 19:00:00,21,67.0,1023.0,2.0
2016-01-20 20:00:00,21,67.0,1023.0,2.0
2016-01-20 21:00:00,21,67.0,1023.0,1.0
2016-01-20 22:00:00,21,72.0,1023.0,1.0
2016-01-20 23:00:00,21,78.0,1023.0,2.0
2016-01-21 00:00:00,18,81.0,1023.0,1.0
2016-01-21 01:00:00,15,85.0,1025.0,1.0
2016-01-21 02:00:00,15,92.0,1032.0,2.0
2016-01-21 03:00:00,14,92.0,1025.0,1.0
2016-01-21 04:00:00,14,78.0,1026.0,1.0
2016-01-21 05:00:00,14,78.0,1026.0,1.0
2016-01-21 06:00:00,13,72.0,1026.0,2.0
2016-01-21 07:00:00,12,78.0,1026.0,1.0
2016-01-21 08:00:00,11,79.0,1026.0,1.0
2016-01-21 09:00:00,9,78.0,1026.0,1.0
2016-01-21 10:00:00,11,78.0,1028.0,1.0
2016-01-21 11:00:00,11,78.0,1028.0,1.0
2016-01-21 12:00:00,12,85.0,1028.0,1.0
2016-01-21 13:00:00,12,85.0,1028.0,1.0
2016-01-21 14:00:00,13,92.0,1035.0,1.0
2016-01-21 15:00:00,15,85.0,1029.0,1.0
2016-01-21 16:00:00,18,82.0,1029.0,1.0
2016-01-21 17:00:00,21,79.0,1029.0,1.0
