datetime,temperature,humidity,pressure,wind_speed
2016-01-01 00:00:00,60,17.0,1018.0,3.0
2016-01-01 01:00:00,58,22.0,1018.0,5.0
2016-01-01 02:00:00,47,33.0,1025.0,3.0
2016-01-01 03:00:00,52,21.0,1018.0,1.0
2016-01-01 04:00:00,51,27.0,1018.0,1.0
2016-01-01 05:00:00,50,34.0,1019.0,2.0
2016-01-01 06:00:00,47,32.0,1019.0,1.0
2016-01-01 07:00:00,45,32.0,1019.0,1.0
2016-01-01 08:00:00,44,33.0,1019.0,1.0
2016-01-01 09:00:00,44,31.0,1019.0,1.0
2016-01-01 10:00:00,42,33.0,1019.0,1.0
2016-01-01 11:00:00,42,31.0,1019.0,1.0
2016-01-01 12:00:00,41,31.0,1018.0,1.0
2016-01-01 13:00:00,40,31.0,1018.0,1.0
2016-01-01 14:00:00,40,28.0,1019.0,1.0
2016-01-01 15:00:00,40,30.0,1020.0,2.0
2016-01-01 16:00:00,46,28.0,1022.0,4.0
2016-01-01 17:00:00,45,27.0,1022.0,3.0
2016-01-01 18:00:00,51,23.0,1021.0,2.0
2016-01-01 19:00:00,57,14.0,1020.0,2.0
2016-01-01 20:00:00,61,14.0,1020.0,1.0
2016-01-01 21:00:00,61,13.0,1019.0,1.0
2016-01-01 22:00:00,61,12.0,1019.0,1.0
2016-01-01 23:00:00,57,15.0,1026.0,1.0
2016-01-02 00:00:00,60,15.0,1018.0,2.0
2016-01-02 01:00:00,57,20.0,1018.0,2.0
2016-01-02 02:00:00,54,26.0,1019.0,2.0
2016-01-02 03:00:00,52,34.0,1019.0,1.0
2016-01-02 04:00:00,50,44.0,1019.0,1.0
2016-01-02 05:00:00,48,32.0,1019.0,1.0
2016-01-02 06:00:00,48,31.0,1019.0,1.0
2016-01-02 07:00:00,48,22.0,1019.0,1.0
2016-01-02 08:00:00,46,22.0,1020.0,1.0
2016-01-02 09:00:00,45,22.0,1019.0,1.0
2016-01-02 10:00:00,44,23.0,1019.0,1.0
2016-01-02 11:00:00,43,23.0,1019.0,1.0
2016-01-02 12:00:00,42,27.0,1019.0,1.0
2016-01-02 13:00:00,42,31.0,1019.0,1.0
2016-01-02 14:00:00,41,29.0,1019.0,1.0
2016-01-02 15:00:00,42,29.0,1019.0,1.0
2016-01-02 16:00:00,43,29.0,1019.0,1.0
2016-01-02 17:00:00,46,29.0,1019.0,1.0
2016-01-02 18:00:00,51,23.0,1019.0,1.0
2016-01-02 19:00:00,59,17.0,1020.0,1.0
2016-01-02 20:00:00,59,17.0,1020.0,1.0
2016-01-02 21:00:00,62,17.0,1018.0,1.0
2016-01-02 22:00:00,62,18.0,1017.0,1.0
2016-01-02 23:00:00,62,20.0,1017.0,2.0
2016-01-03 00:00:00,61,27.0,1017.0,2.0
2016-01-03 01:00:00,59,36.0,1017.0,2.0
2016-01-03 02:00:00,49,39.0,1024.0,1.0
2016-01-03 03:00:00,52,62.0,1017.0,1.0
2016-01-03 04:00:00,51,63.0,1017.0,0.0
2016-01-03 05:00:00,49,66.0,1018.0,0.0
2016-01-03 06:00:00,48,76.0,1018.0,0.0
2016-01-03 07:00:00,47,71.0,1018.0,1.0
2016-01-03 08:00:00,47,70.0,1018.0,1.0
2016-01-03 09:00:00,46,76.0,1018.0,1.0
2016-01-03 10:00:00,45,73.0,1017.0,1.0
2016-01-03 11:00:00,43,70.0,1017.0,1.0
2016-01-03 12:00:00,43,70.0,1016.0,1.0
2016-01-03 13:00:00,42,70.0,1016.0,1.0
2016-01-03 14:00:00,37,68.0,1023.0,1.0
2016-01-03 15:00:00,42,65.0,1016.0,1.0
2016-01-03 16:00:00,44,63.0,1016.0,1.0
2016-01-03 17:00:00,47,61.0,1016.0,1.0
2016-01-03 18:00:00,56,43.0,1017.0,1.0
2016-01-03 19:00:00,56,43.0,1017.0,1.0
2016-01-03 20:00:00,59,50.0,1017.0,1.0
2016-01-03 21:00:00,59,54.0,1015.0,2.0
2016-01-03 22:00:00,60,59.0,1014.0,3.0
2016-01-03 23:00:00,59,44.0,1019.0,2.0
2016-01-04 00:00:00,59,50.0,1013.0,4.0
2016-01-04 01:00:00,58,52.0,1012.0,4.0
2016-01-04 02:00:00,55,55.0,1012.0,4.0
2016-01-04 03:00:00,54,60.0,1012.0,2.0
2016-01-04 04:00:00,52,67.0,1012.0,0.0
2016-01-04 05:00:00,48,73.0,1018.0,0.0
2016-01-04 06:00:00,52,67.0,1012.0,1.0
2016-01-04 07:00:00,51,67.0,1011.0,1.0
2016-01-04 08:00:00,51,67.0,1011.0,2.0
2016-01-04 09:00:00,52,64.0,1010.0,2.0
2016-01-04 10:00:00,52,62.0,1009.0,2.0
2016-01-04 11:00:00,51,58.0,1008.0,1.0
2016-01-04 12:00:00,51,62.0,1007.0,1.0
2016-01-04 13:00:00,52,62.0,1007.0,2.0
2016-01-04 14:00:00,52,58.0,1007.0,2.0
2016-01-04 15:00:00,53,58.0,1008.0,1.0
2016-01-04 16:00:00,54,58.0,1009.0,1.0
2016-01-04 17:00:00,53,57.0,1013.0,1.0
2016-01-04 18:00:00,59,51.0,1009.0,1.0
2016-01-04 19:00:00,64,42.0,1009.0,1.0
2016-01-04 20:00:00,63,43.0,1009.0,1.0
2016-01-04 21:00:00,65,39.0,1009.0,1.0
2016-01-04 22:00:00,65,36.0,1008.0,2.0
2016-01-04 23:00:00,65,34.0,1008.0,3.0
2016-01-05 00:00:00,63,34.0,1008.0,2.0
2016-01-05 01:00:00,62,34.0,1009.0,2.0
2016-01-05 02:00:00,53,58.0,1016.0,1.0
2016-01-05 03:00:00,57,72.0,1010.0,3.0
2016-01-05 04:00:00,55,74.0,1010.0,2.0
2016-01-05 05:00:00,54,77.0,1011.0,0.0
2016-01-05 06:00:00,53,76.0,1013.0,1.0
2016-01-05 07:00:00,53,82.0,1012.0,1.0
2016-01-05 08:00:00,53,82.0,1012.0,1.0
2016-01-05 09:00:00,53,82.0,1012.0,1.0
2016-01-05 10:00:00,53,79.0,1011.0,1.0
2016-01-05 11:00:00,53,76.0,1011.0,2.0
2016-01-05 12:00:00,53,94.0,1011.0,1.0
2016-01-05 13:00:00,54,82.0,1011.0,2.0
2016-01-05 14:00:00,54,82.0,1010.0,3.0
2016-01-05 15:00:00,53,87.0,1011.0,3.0
2016-01-05 16:00:00,53,88.0,1010.0,2.0
2016-01-05 17:00:00,53,93.0,1010.0,2.0
2016-01-05 18:00:00,54,93.0,1011.0,1.0
2016-01-05 19:00:00,54,93.0,1009.0,4.0
2016-01-05 20:00:00,55,100.0,1008.0,1.0
2016-01-05 21:00:00,55,100.0,1007.0,1.0
2016-01-05 22:00:00,55,100.0,1007.0,1.0
2016-01-05 23:00:00,51,100.0,1014.0,1.0
2016-01-06 00:00:00,54,87.0,1008.0,3.0
2016-01-06 01:00:00,54,93.0,1008.0,2.0
2016-01-06 02:00:00,54,100.0,1010.0,1.0
2016-01-06 03:00:00,53,85.0,1010.0,1.0
2016-01-06 04:00:00,52,71.0,1010.0,2.0
2016-01-06 05:00:00,51,66.0,1012.0,1.0
2016-01-06 06:00:00,51,66.0,1012.0,1.0
2016-01-06 07:00:00,50,76.0,1013.0,1.0
2016-01-06 08:00:00,48,71.0,1013.0,4.0
2016-01-06 09:00:00,47,87.0,1013.0,2.0
2016-01-06 10:00:00,46,87.0,1014.0,0.0
2016-01-06 11:00:00,45,93.0,1014.0,0.0
2016-01-06 12:00:00,45,87.0,1015.0,0.0
2016-01-06 13:00:00,45,81.0,1015.0,2.0
2016-01-06 14:00:00,41,82.0,1018.0,1.0
2016-01-06 15:00:00,46,87.0,1015.0,1.0
2016-01-06 16:00:00,47,87.0,1015.0,2.0
2016-01-06 17:00:00,48,87.0,1016.0,3.0
2016-01-06 18:00:00,52,87.0,1015.0,3.0
2016-01-06 19:00:00,51,93.0,1014.0,1.0
2016-01-06 20:00:00,51,93.0,1014.0,1.0
2016-01-06 21:00:00,52,100.0,1013.0,1.0
2016-01-06 22:00:00,53,91.0,1013.0,4.0
2016-01-06 23:00:00,53,82.0,1013.0,8.0
2016-01-07 00:00:00,52,84.0,1013.0,4.0
2016-01-07 01:00:00,50,87.0,1013.0,1.0
2016-01-07 02:00:00,46,92.0,1019.0,0.0
2016-01-07 03:00:00,48,76.0,1013.0,0.0
2016-01-07 04:00:00,48,81.0,1013.0,1.0
2016-01-07 05:00:00,47,87.0,1014.0,1.0
2016-01-07 06:00:00,48,81.0,1013.0,3.0
2016-01-07 07:00:00,47,87.0,1012.0,3.0
2016-01-07 08:00:00,47,87.0,1013.0,2.0
2016-01-07 09:00:00,47,93.0,1011.0,0.0
2016-01-07 10:00:00,47,87.0,1011.0,2.0
2016-01-07 11:00:00,46,100.0,1011.0,0.0
2016-01-07 12:00:00,46,100.0,1011.0,1.0
2016-01-07 13:00:00,46,100.0,1012.0,2.0
2016-01-07 14:00:00,43,98.0,1018.0,1.0
2016-01-07 15:00:00,44,93.0,1013.0,1.0
2016-01-07 16:00:00,45,90.0,1013.0,1.0
2016-01-07 17:00:00,47,87.0,1013.0,1.0
2016-01-07 18:00:00,51,66.0,1014.0,1.0
2016-01-07 19:00:00,52,62.0,1014.0,1.0
2016-01-07 20:00:00,52,62.0,1014.0,1.0
2016-01-07 21:00:00,53,62.0,1013.0,1.0
2016-01-07 22:00:00,54,62.0,1012.0,3.0
2016-01-07 23:00:00,56,62.0,1012.0,5.0
2016-01-08 00:00:00,55,62.0,1012.0,5.0
2016-01-08 01:00:00,54,62.0,1012.0,5.0
2016-01-08 02:00:00,46,73.0,1019.0,3.0
2016-01-08 03:00:00,52,76.0,1013.0,1.0
2016-01-08 04:00:00,50,73.0,1013.0,1.0
2016-01-08 05:00:00,49,71.0,1014.0,1.0
2016-01-08 06:00:00,46,62.0,1014.0,1.0
2016-01-08 07:00:00,46,80.0,1014.0,10.0
2016-01-08 08:00:00,45,80.0,1014.0,9.0
2016-01-08 09:00:00,46,53.0,1014.0,1.0
2016-01-08 10:00:00,43,86.0,1014.0,3.0
2016-01-08 11:00:00,42,50.0,1014.0,1.0
2016-01-08 12:00:00,42,60.0,1014.0,4.0
2016-01-08 13:00:00,42,86.0,1014.0,12.0
2016-01-08 14:00:00,35,80.0,1021.0,6.0
2016-01-08 15:00:00,39,86.0,1014.0,10.0
2016-01-08 16:00:00,45,66.0,1017.0,1.0
2016-01-08 17:00:00,45,66.0,1017.0,1.0
2016-01-08 18:00:00,49,66.0,1017.0,1.0
2016-01-08 19:00:00,55,47.0,1018.0,1.0
2016-01-08 20:00:00,55,48.0,1018.0,1.0
2016-01-08 21:00:00,58,44.0,1017.0,0.0
2016-01-08 22:00:00,58,42.0,1017.0,2.0
2016-01-08 23:00:00,58,41.0,1017.0,5.0
2016-01-09 00:00:00,57,42.0,1017.0,3.0
2016-01-09 01:00:00,56,44.0,1018.0,2.0
2016-01-09 02:00:00,46,64.0,1025.0,1.0
2016-01-09 03:00:00,50,50.0,1019.0,0.0
2016-01-09 04:00:00,49,53.0,1019.0,0.0
2016-01-09 05:00:00,47,58.0,1020.0,0.0
2016-01-09 06:00:00,45,62.0,1021.0,0.0
2016-01-09 07:00:00,45,66.0,1021.0,1.0
2016-01-09 08:00:00,44,76.0,1021.0,1.0
2016-01-09 09:00:00,44,74.0,1021.0,1.0
