datetime,temperature,humidity,pressure,wind_speed
2016-01-01 00:00:00,43,65.0,1019.0,3.0
2016-01-01 01:00:00,43,73.0,1019.0,3.0
2016-01-01 02:00:00,42,100.0,1020.0,4.0
2016-01-01 03:00:00,42,89.0,1019.0,4.0
2016-01-01 04:00:00,41,56.0,1019.0,4.0
2016-01-01 05:00:00,39,70.0,1023.0,3.0
2016-01-01 06:00:00,40,56.0,1018.0,3.0
2016-01-01 07:00:00,40,60.0,1018.0,5.0
2016-01-01 08:00:00,40,60.0,1018.0,5.0
2016-01-01 09:00:00,39,60.0,1018.0,5.0
2016-01-01 10:00:00,38,64.0,1018.0,6.0
2016-01-01 11:00:00,38,59.0,1018.0,3.0
2016-01-01 12:00:00,38,60.0,1018.0,4.0
2016-01-01 13:00:00,38,55.0,1018.0,3.0
2016-01-01 14:00:00,38,60.0,1018.0,4.0
2016-01-01 15:00:00,38,60.0,1019.0,2.0
2016-01-01 16:00:00,39,52.0,1018.0,7.0
2016-01-01 17:00:00,40,52.0,1017.0,6.0
2016-01-01 18:00:00,39,54.0,1016.0,6.0
2016-01-01 19:00:00,39,60.0,1016.0,8.0
2016-01-01 20:00:00,38,55.0,1016.0,6.0
2016-01-01 21:00:00,38,48.0,1016.0,6.0
2016-01-01 22:00:00,37,48.0,1016.0,6.0
2016-01-01 23:00:00,36,51.0,1016.0,7.0
2016-01-02 00:00:00,36,51.0,1016.0,6.0
2016-01-02 01:00:00,35,51.0,1017.0,4.0
2016-01-02 02:00:00,34,64.0,1021.0,4.0
2016-01-02 03:00:00,34,55.0,1018.0,5.0
2016-01-02 04:00:00,34,53.0,1018.0,5.0
2016-01-02 05:00:00,33,50.0,1018.0,5.0
2016-01-02 06:00:00,33,50.0,1018.0,3.0
2016-01-02 07:00:00,33,51.0,1018.0,3.0
2016-01-02 08:00:00,32,55.0,1018.0,3.0
2016-01-02 09:00:00,32,99.0,1018.0,2.0
2016-01-02 10:00:00,31,99.0,1018.0,3.0
2016-01-02 11:00:00,31,100.0,1018.0,4.0
2016-01-02 12:00:00,31,68.0,1018.0,2.0
2016-01-02 13:00:00,32,50.0,1019.0,4.0
2016-01-02 14:00:00,33,50.0,1019.0,3.0
2016-01-02 15:00:00,34,59.0,1019.0,2.0
2016-01-02 16:00:00,36,47.0,1019.0,4.0
2016-01-02 17:00:00,37,44.0,1018.0,6.0
2016-01-02 18:00:00,37,43.0,1017.0,6.0
2016-01-02 19:00:00,39,41.0,1016.0,5.0
2016-01-02 20:00:00,39,41.0,1016.0,7.0
2016-01-02 21:00:00,38,41.0,1016.0,7.0
2016-01-02 22:00:00,37,44.0,1016.0,6.0
2016-01-02 23:00:00,36,59.0,1020.0,5.0
2016-01-03 00:00:00,34,51.0,1017.0,2.0
2016-01-03 01:00:00,33,51.0,1016.0,2.0
2016-01-03 02:00:00,31,51.0,1016.0,2.0
2016-01-03 03:00:00,31,62.0,1016.0,2.0
2016-01-03 04:00:00,31,100.0,1016.0,3.0
2016-01-03 05:00:00,31,68.0,1015.0,3.0
2016-01-03 06:00:00,31,79.0,1014.0,3.0
2016-01-03 07:00:00,30,68.0,1014.0,3.0
2016-01-03 08:00:00,31,68.0,1013.0,2.0
2016-01-03 09:00:00,31,75.0,1012.0,2.0
2016-01-03 10:00:00,31,100.0,1012.0,3.0
2016-01-03 11:00:00,31,100.0,1016.0,3.0
2016-01-03 12:00:00,30,68.0,1012.0,3.0
2016-01-03 13:00:00,32,66.0,1012.0,3.0
2016-01-03 14:00:00,36,64.0,1012.0,4.0
2016-01-03 15:00:00,38,58.0,1011.0,4.0
2016-01-03 16:00:00,43,42.0,1011.0,6.0
2016-01-03 17:00:00,42,55.0,1014.0,5.0
2016-01-03 18:00:00,44,42.0,1009.0,7.0
2016-01-03 19:00:00,43,42.0,1010.0,4.0
2016-01-03 20:00:00,42,54.0,1014.0,4.0
2016-01-03 21:00:00,41,41.0,1011.0,7.0
2016-01-03 22:00:00,40,43.0,1011.0,6.0
2016-01-03 23:00:00,38,51.0,1012.0,4.0
2016-01-04 00:00:00,38,51.0,1012.0,4.0
2016-01-04 01:00:00,36,55.0,1013.0,4.0
2016-01-04 02:00:00,35,67.0,1017.0,3.0
2016-01-04 03:00:00,34,64.0,1013.0,4.0
2016-01-04 04:00:00,34,65.0,1013.0,4.0
2016-01-04 05:00:00,32,69.0,1013.0,4.0
2016-01-04 06:00:00,33,69.0,1013.0,4.0
2016-01-04 07:00:00,33,69.0,1013.0,2.0
2016-01-04 08:00:00,32,80.0,1017.0,3.0
2016-01-04 09:00:00,32,59.0,1013.0,4.0
2016-01-04 10:00:00,31,57.0,1013.0,5.0
2016-01-04 11:00:00,29,54.0,1014.0,7.0
2016-01-04 12:00:00,29,58.0,1015.0,5.0
2016-01-04 13:00:00,27,50.0,1016.0,7.0
2016-01-04 14:00:00,27,42.0,1016.0,5.0
2016-01-04 15:00:00,28,42.0,1018.0,9.0
2016-01-04 16:00:00,28,39.0,1018.0,6.0
2016-01-04 17:00:00,29,30.0,1018.0,7.0
2016-01-04 18:00:00,29,29.0,1017.0,7.0
2016-01-04 19:00:00,28,28.0,1017.0,8.0
2016-01-04 20:00:00,26,28.0,1018.0,8.0
2016-01-04 21:00:00,25,28.0,1018.0,8.0
2016-01-04 22:00:00,21,29.0,1021.0,9.0
2016-01-04 23:00:00,22,52.0,1026.0,8.0
2016-01-05 00:00:00,17,37.0,1024.0,9.0
2016-01-05 01:00:00,17,39.0,1024.0,10.0
2016-01-05 02:00:00,15,47.0,1026.0,10.0
2016-01-05 03:00:00,14,47.0,1026.0,10.0
2016-01-05 04:00:00,13,47.0,1028.0,8.0
2016-01-05 05:00:00,14,64.0,1033.0,7.0
2016-01-05 06:00:00,12,47.0,1029.0,4.0
2016-01-05 07:00:00,11,56.0,1031.0,10.0
2016-01-05 08:00:00,10,51.0,1032.0,9.0
2016-01-05 09:00:00,10,51.0,1032.0,8.0
2016-01-05 10:00:00,10,55.0,1033.0,6.0
2016-01-05 11:00:00,12,70.0,1037.0,5.0
2016-01-05 12:00:00,9,55.0,1035.0,6.0
2016-01-05 13:00:00,10,43.0,1033.0,5.0
2016-01-05 14:00:00,13,43.0,1036.0,7.0
2016-01-05 15:00:00,15,37.0,1035.0,5.0
2016-01-05 16:00:00,19,31.0,1037.0,3.0
2016-01-05 17:00:00,22,54.0,1041.0,3.0
2016-01-05 18:00:00,24,29.0,1036.0,2.0
2016-01-05 19:00:00,27,21.0,1036.0,3.0
2016-01-05 20:00:00,27,25.0,1036.0,2.0
2016-01-05 21:00:00,28,18.0,1036.0,2.0
2016-01-05 22:00:00,27,19.0,1036.0,2.0
2016-01-05 23:00:00,24,25.0,1037.0,2.0
2016-01-06 00:00:00,23,25.0,1037.0,1.0
2016-01-06 01:00:00,22,25.0,1037.0,1.0
2016-01-06 02:00:00,20,49.0,1041.0,1.0
2016-01-06 03:00:00,20,32.0,1037.0,1.0
2016-01-06 04:00:00,20,33.0,1037.0,1.0
2016-01-06 05:00:00,19,38.0,1037.0,2.0
2016-01-06 06:00:00,19,41.0,1036.0,1.0
2016-01-06 07:00:00,19,78.0,1036.0,2.0
2016-01-06 08:00:00,17,57.0,1036.0,1.0
2016-01-06 09:00:00,17,85.0,1035.0,2.0
2016-01-06 10:00:00,17,48.0,1036.0,2.0
2016-01-06 11:00:00,17,85.0,1036.0,2.0
2016-01-06 12:00:00,16,67.0,1036.0,2.0
2016-01-06 13:00:00,16,52.0,1036.0,1.0
2016-01-06 14:00:00,24,49.0,1036.0,2.0
2016-01-06 15:00:00,26,44.0,1036.0,2.0
2016-01-06 16:00:00,33,31.0,1036.0,3.0
2016-01-06 17:00:00,33,51.0,1039.0,2.0
2016-01-06 18:00:00,37,18.0,1033.0,3.0
2016-01-06 19:00:00,40,19.0,1031.0,2.0
2016-01-06 20:00:00,40,18.0,1031.0,4.0
2016-01-06 21:00:00,39,19.0,1031.0,4.0
2016-01-06 22:00:00,35,25.0,1031.0,2.0
